# Time, Wall Area, Wall Volume, Lumen Volume, Wall Area Ratio, Wall Volume Ratio, Lumen Volume Ratio, Average J, Average I1, Average J Ratio, Average I1 Ratio, No. of Frames, Open Frame, Closing Frame, Ref Frame
0.000000000000000000e+00,2.641700578968262107e+03,8.154037305553106307e+03,1.751627431669242287e+04,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+01,2.650597276442784732e+03,8.077084807344515866e+03,1.758351933640808420e+04,1.003367791772221684e+00,9.905626507060271146e-01,1.003839002432816319e+00,1.004777698686932341e+00,2.011430390759399334e+00,1.004777698686932341e+00,1.005715195379699667e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000000e+01,2.659493973917307358e+03,8.000132309135925425e+03,1.765076435612374553e+04,1.006735583544443369e+00,9.811253014120542293e-01,1.007678004865632859e+00,1.009555397373864460e+00,2.022860781518798667e+00,1.009555397373864460e+00,1.011430390759399334e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
3.000000000000000000e+01,2.668390671391829983e+03,7.923179810927334984e+03,1.771800937583940686e+04,1.010103375316665053e+00,9.716879521180812329e-01,1.011517007298449178e+00,1.014333096060796802e+00,2.034291172278198001e+00,1.014333096060796802e+00,1.017145586139099001e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+01,2.677287368866352608e+03,7.846227312718744543e+03,1.778525439555506819e+04,1.013471167088886737e+00,9.622506028241083476e-01,1.015356009731265496e+00,1.019110794747728921e+00,2.045721563037597335e+00,1.019110794747728921e+00,1.022860781518798667e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+01,2.681649115521586737e+03,7.814008744300411308e+03,1.782354191156591696e+04,1.015122280273310418e+00,9.582993615909596308e-01,1.017541835056823496e+00,1.021308843254811860e+00,2.051049717321661969e+00,1.021308843254811860e+00,1.025524858660830985e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
6.000000000000000000e+01,2.679964261084436657e+03,7.841435415602418288e+03,1.782321942263701203e+04,1.014484488674003426e+00,9.616629311055766571e-01,1.017523424239370478e+00,1.020067358188762263e+00,2.048241556305280042e+00,1.020067358188762263e+00,1.024120778152640021e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
7.000000000000000000e+01,2.678279406647286123e+03,7.868862086904426178e+03,1.782289693370811074e+04,1.013846697074696435e+00,9.650265006201935725e-01,1.017505013421917459e+00,1.018825873122712444e+00,2.045433395288898559e+00,1.018825873122712444e+00,1.022716697644449280e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
8.000000000000000000e+01,2.676594552210135589e+03,7.896288758206434068e+03,1.782257444477920944e+04,1.013208905475389443e+00,9.683900701348104878e-01,1.017486602604464441e+00,1.017584388056662847e+00,2.042625234272516632e+00,1.017584388056662847e+00,1.021312617136258316e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
9.000000000000000000e+01,2.674909697772985055e+03,7.923715429508441957e+03,1.782225195585030815e+04,1.012571113876082673e+00,9.717536396494275142e-01,1.017468191787011422e+00,1.016342902990613251e+00,2.039817073256134705e+00,1.016342902990613251e+00,1.019908536628067353e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+02,2.677981147617726037e+03,7.963030574101559978e+03,1.786104812871574177e+04,1.013733792897768105e+00,9.765751952935675106e-01,1.019683056213315897e+00,1.017038374683209012e+00,2.041310214782236621e+00,1.017038374683209012e+00,1.020655107391118310e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.100000000000000000e+02,2.681845314842782045e+03,8.004327130909863627e+03,1.790636407854689969e+04,1.015196550356285643e+00,9.816397486259613725e-01,1.022270133180246621e+00,1.018056672502245741e+00,2.043520240065419546e+00,1.018056672502245741e+00,1.021760120032709773e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.200000000000000000e+02,2.685709482067838508e+03,8.045623687718166366e+03,1.795168002837805398e+04,1.016659307814803181e+00,9.867043019583553454e-01,1.024857210147177566e+00,1.019074970321282469e+00,2.045730265348602028e+00,1.019074970321282469e+00,1.022865132674301014e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.300000000000000000e+02,2.689573649292894515e+03,8.086920244526470015e+03,1.799699597820921190e+04,1.018122065273320720e+00,9.917688552907492072e-01,1.027444287114108290e+00,1.020093268140319198e+00,2.047940290631784954e+00,1.020093268140319198e+00,1.023970145315892477e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.400000000000000000e+02,2.694258619484116934e+03,8.128093481102822807e+03,1.804298794109196388e+04,1.019895532799701909e+00,9.968182847983029227e-01,1.030069957507893097e+00,1.021275074473926736e+00,2.050558816700769782e+00,1.021275074473926736e+00,1.025279408350384891e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.500000000000000000e+02,2.700995597090754927e+03,8.168958417099301187e+03,1.809066993660369917e+04,1.022445775495741671e+00,1.001829904743755995e+00,1.032792111468812335e+00,1.022865652093961630e+00,2.054198594734259586e+00,1.022865652093961630e+00,1.027099297367129793e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.600000000000000000e+02,2.707732574697393375e+03,8.209823353095778657e+03,1.813835193211543083e+04,1.024996018191781655e+00,1.006841524689208844e+00,1.035514265429731795e+00,1.024456229713996525e+00,2.057838372767749391e+00,1.024456229713996525e+00,1.028919186383874695e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.700000000000000000e+02,2.714469552304031367e+03,8.250688289092257037e+03,1.818603392762716612e+04,1.027546260887821639e+00,1.011853144634661916e+00,1.038236419390651255e+00,1.026046807334031641e+00,2.061478150801239195e+00,1.026046807334031641e+00,1.030739075400619598e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.800000000000000000e+02,2.721206529910669360e+03,8.291553225088733598e+03,1.823371592313890142e+04,1.030096503583861400e+00,1.016864764580114988e+00,1.040958573351570493e+00,1.027637384954066535e+00,2.065117928834729000e+00,1.027637384954066535e+00,1.032558964417364500e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.900000000000000000e+02,2.726224262366965377e+03,8.330179446940201160e+03,1.827482748588420509e+04,1.031995936281209669e+00,1.021601831680011729e+00,1.043305622844060254e+00,1.028834052815162936e+00,2.067997731858140842e+00,1.028834052815162936e+00,1.033998865929070421e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000000e+02,2.730554296763124967e+03,8.367910183133662940e+03,1.831331087552292956e+04,1.033635044979081430e+00,1.026229077641686027e+00,1.045502630549177692e+00,1.029873156772683984e+00,2.070573544877521321e+00,1.029873156772683984e+00,1.035286772438760661e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
2.100000000000000000e+02,2.734884331159284557e+03,8.405640919327124720e+03,1.835179426516165768e+04,1.035274153676953190e+00,1.030856323603360325e+00,1.047699638254295351e+00,1.030912260730205254e+00,2.073149357896901801e+00,1.030912260730205254e+00,1.036574678948450901e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
2.200000000000000000e+02,2.739214365555444147e+03,8.443371655520586501e+03,1.839027765480038579e+04,1.036913262374824729e+00,1.035483569565034623e+00,1.049896645959413011e+00,1.031951364687726302e+00,2.075725170916282281e+00,1.031951364687726302e+00,1.037862585458141140e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
2.300000000000000000e+02,2.743255657898198479e+03,8.482563824509143160e+03,1.842457089520339287e+04,1.038443069490335491e+00,1.040290043648966822e+00,1.051854439025620591e+00,1.032876206123990004e+00,2.078056292662559645e+00,1.032876206123990004e+00,1.039028146331279823e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
2.400000000000000000e+02,2.745564497920521717e+03,8.530524590268272732e+03,1.843372324019208463e+04,1.039317067111680259e+00,1.046171886466446432e+00,1.052376944258366809e+00,1.033115472432708515e+00,2.078919266770217433e+00,1.033115472432708515e+00,1.039459633385108717e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
2.500000000000000000e+02,2.747873337942845410e+03,8.578485356027402304e+03,1.844287558518078004e+04,1.040191064733025028e+00,1.052053729283926042e+00,1.052899449491113248e+00,1.033354738741427248e+00,2.079782240877875221e+00,1.033354738741427248e+00,1.039891120438937611e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
2.600000000000000000e+02,2.750182177965168648e+03,8.626446121786530057e+03,1.845202793016947180e+04,1.041065062354369797e+00,1.057935572101405874e+00,1.053421954723859688e+00,1.033594005050145981e+00,2.080645214985533009e+00,1.033594005050145981e+00,1.040322607492766505e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
